Messdatengenerator 1.55
messung.art;Pulsoximetrie
messung.beginnMessung;2025-04-21T12:23
messung.endeMessung;2025-04-21T21:00
messung.PateintenID;2025000001
messung.wertSpO2;1
messung.wertPuls;2
messung.werte
100;57
99;50
100;91
98;78
98;90
100;66
100;74
96;60
100;99
100;68
100;92
100;82
100;78
100;78
100;77
100;67
100;70
100;83
100;90
97;92
100;93
98;61
97;76
100;89
100;87
100;87
100;97
100;84
96;75
97;56
96;54
100;99
99;50
100;85
100;59
100;70
100;54
98;99
100;62
97;90
100;50
100;90
100;97
100;60
100;96
96;94
100;65
100;86
99;66
100;74
100;55
100;88
96;58
100;87
100;81
96;59
100;76
100;72
100;83
100;65
100;78
100;89
100;52
100;77
100;88
100;89
100;77
100;70
100;72
100;54
99;70
98;57
100;99
100;77
97;88
97;81
97;89
100;70
100;78
100;58
100;64
99;70
100;73
100;98
100;74
99;83
100;86
97;55
96;79
99;93
100;99
100;87
100;93
96;73
100;97
100;78
100;84
100;92
97;84
100;65
96;91
100;52
98;55
97;81
99;94
99;99
100;61
96;81
96;68
100;55
100;50
100;78
100;92
100;69
100;75
100;51
100;69
100;61
100;88
100;50
97;94
97;75
97;59
100;96
100;96
100;99
100;84
100;79
99;80
100;99
100;88
96;60
97;67
100;84
100;57
96;59
97;95
96;83
100;79
99;79
100;53
100;59
100;71
100;77
98;99
98;55
98;50
96;65
100;77
99;50
97;94
96;81
100;94
100;84
96;96
99;94
99;74
100;51
99;84
100;74
100;99
100;65
100;93
100;71
99;72
97;60
100;68
99;70
100;99
100;86
99;65
98;60
96;83
99;61
100;57
97;60
100;64
96;53
97;92
100;80
98;71
100;55
98;96
98;79
98;90
96;83
100;58
100;96
99;73
100;91
97;86
98;90
99;53
96;63
98;95
100;75
96;52
99;51
100;58
100;99
96;60
100;66
100;60
100;61
100;59
100;82
100;50
98;74
98;65
96;94
97;87
100;71
99;61
100;58
99;53
99;74
100;59
100;79
97;94
100;51
98;52
100;78
100;52
96;84
98;76
100;50
100;95
100;65
100;73
100;70
96;80
100;67
100;90
100;58
99;57
99;77
98;82
99;56
100;62
96;83
97;97
100;89
96;57
100;61
99;58
100;96
100;90
100;61
98;54
97;95
100;56
97;74
100;87
100;54
100;69
99;54
99;92
100;58
97;68
100;86
99;50
100;88
100;98
100;72
100;85
97;93
97;78
100;70
100;74
100;84
96;68
97;92
100;77
100;75
96;53
100;59
97;53
97;94
98;61
100;73
98;93
99;99
100;72
100;94
100;86
99;91
100;84
99;92
100;81
97;72
99;93
100;64
98;65
100;85
100;81
100;99
99;71
98;82
100;74
98;51
100;86
100;91
100;62
96;56
99;88
100;60
100;71
97;90
97;96
98;61
99;67
98;68
96;97
96;88
98;75
100;67
99;55
99;66
100;95
98;79
100;79
99;61
100;57
100;50
100;80
97;88
96;62
99;97
100;51
100;69
98;92
97;71
100;95
100;84
100;75
100;84
100;59
100;83
100;86
96;71
100;52
96;51
100;95
100;83
100;55
99;63
100;92
100;90
100;61
100;70
100;87
100;63
96;58
100;77
99;57
97;97
100;66
100;56
100;93
100;97
100;75
100;93
100;98
100;72
100;91
98;98
100;58
100;70
100;80
100;59
97;83
100;54
100;64
96;85
99;60
100;99
100;89
98;72
100;60
100;88
100;61
96;60
100;63
100;72
96;98
97;61
97;69
100;73
100;53
100;93
100;79
100;68
100;54
100;53
100;59
100;51
98;92
100;77
100;77
100;63
98;52
97;95
100;68
98;83
100;74
100;80
99;71
100;61
97;90
96;57
100;78
100;62
99;88
99;97
97;52
98;73
100;66
100;58
97;89
97;51
100;81
100;98
96;75
97;72
96;59
100;55
100;94
100;89
98;63
100;88
97;67
100;84
97;94
100;62
99;74
100;58
