Messdatengenerator 1.55
messung.art;Pulsoximetrie
messung.beginnMessung;2025-04-21T12:23
messung.endeMessung;2025-04-21T21:00
messung.PateintenID;2025000001
messung.wertSpO2;1
messung.wertPuls;2
messung.werte
86;114
92;144
89;114
87;135
88;177
82;145
84;137
81;181
83;171
89;141
82;139
100;93
98;57
96;76
100;70
100;73
97;99
100;60
100;51
100;53
100;96
100;65
100;82
99;86
100;58
100;55
100;78
99;94
100;90
100;75
100;63
100;73
100;90
100;52
96;53
100;94
96;70
96;89
99;57
97;57
97;71
100;83
98;73
100;59
100;79
97;58
100;83
97;54
100;52
98;51
100;87
98;58
100;88
100;68
99;51
100;97
100;54
100;91
100;60
99;74
100;66
100;58
100;82
100;62
100;60
100;80
100;54
100;58
100;65
97;90
100;90
97;92
99;59
100;71
100;82
100;92
100;54
100;82
97;80
100;83
100;93
98;73
100;76
100;92
100;62
97;72
99;90
97;54
100;92
100;92
97;67
98;51
96;59
100;59
96;98
97;98
100;60
97;63
100;58
97;96
100;55
97;73
100;56
100;72
100;63
98;94
100;89
98;77
98;74
100;57
98;96
97;51
100;62
100;99
100;65
100;99
100;79
100;72
100;74
100;52
100;67
96;99
96;89
96;83
100;78
100;58
99;94
100;66
100;89
96;65
96;89
100;79
100;92
99;91
100;78
100;54
96;73
100;77
100;76
100;64
98;62
98;97
99;75
100;58
99;82
100;79
100;87
100;50
100;95
100;64
98;69
100;63
99;73
100;61
100;86
100;96
100;78
99;66
97;58
100;71
100;63
98;60
100;66
98;81
98;74
100;63
100;65
100;59
99;87
100;78
100;66
96;72
100;79
97;71
99;85
98;79
100;62
100;50
98;90
97;98
100;93
100;69
100;94
99;58
98;58
100;81
100;84
97;95
98;83
85;125
87;104
80;174
80;102
91;118
92;154
88;166
92;161
83;144
91;157
87;178
100;68
97;78
99;99
100;94
100;86
96;96
100;82
97;89
100;88
100;59
100;82
96;59
97;58
100;82
100;57
97;60
97;91
97;86
100;55
100;73
99;53
99;84
98;71
100;66
100;96
98;98
100;52
97;54
97;99
100;70
100;89
96;61
100;78
100;66
99;91
100;72
100;97
100;53
100;86
100;61
100;91
97;88
100;59
96;88
100;94
100;67
100;52
100;95
98;53
100;92
98;84
100;93
100;84
100;85
100;94
100;65
96;79
100;73
99;76
100;68
99;98
96;89
97;67
98;98
100;55
96;93
99;90
100;69
97;97
100;57
100;84
100;62
100;84
99;55
97;69
97;88
98;66
100;75
97;70
97;64
97;62
99;90
100;73
100;72
98;51
100;78
96;60
96;68
100;67
100;88
98;81
100;78
100;80
99;58
97;63
96;73
98;79
97;93
100;96
97;82
100;81
96;98
100;82
97;74
100;94
100;68
99;56
100;64
100;91
99;71
98;70
100;68
99;57
100;97
100;84
96;86
99;78
100;84
97;64
100;96
99;84
100;63
99;79
99;93
100;72
100;79
100;65
100;65
100;60
100;57
100;53
97;82
96;99
99;89
100;70
100;70
99;68
100;96
100;63
96;53
99;60
100;78
100;59
100;64
100;91
99;68
100;64
96;80
97;66
100;59
100;67
100;59
100;59
100;53
98;70
100;72
100;66
97;67
96;54
100;86
99;52
100;76
99;90
97;98
100;56
100;77
100;61
100;55
100;97
100;52
100;96
100;53
96;52
100;70
97;98
97;59
96;83
100;61
90;126
82;115
92;137
93;105
85;103
83;149
86;124
82;124
91;177
80;162
93;145
99;82
98;81
100;91
97;94
98;51
100;94
97;92
96;51
100;69
96;73
100;70
98;83
99;86
100;93
96;77
97;81
100;98
100;54
100;91
100;99
100;77
100;63
100;86
100;88
99;84
100;54
100;94
99;59
96;76
100;77
98;77
100;60
100;66
96;57
96;59
100;57
100;99
100;65
97;59
98;89
100;67
97;54
100;58
100;88
96;93
96;73
100;60
